preference_id,self_report,pairwise,tradeoff,sequential
p01,-0.08,-0.4,0.2592592592592591,0.19999999999999973
p02,-0.7,0.3999999999999999,-0.2592592592592592,0.19999999999999996
p03,-0.11000000000000001,-0.19999999999999996,0.03703703703703698,0.46666666666666656
p04,-0.1,-0.4,0.18518518518518512,0.06666666666666665
p05,-0.8,-0.4,-0.11111111111111116,-0.6
p06,0.2,0.0,0.33333333333333326,-0.06666666666666676
p07,-0.4,0.6000000000000001,-0.03703703703703709,-0.06666666666666676
p08,0.16999999999999998,0.19999999999999996,0.11111111111111094,0.06666666666666665
p09,0.3,-0.19999999999999996,-0.2592592592592592,-0.20000000000000007
p10,-0.2,0.0,0.03703703703703698,-0.20000000000000007
p11,-0.42000000000000004,0.19999999999999996,-0.33333333333333337,-0.33333333333333337
p12,-0.2,-0.4,-0.03703703703703709,0.19999999999999996
