preference_id,self_report,pairwise,tradeoff,sequential
p01,-0.009999999999999976,0.0,-0.33333333333333337,0.46666666666666656
p02,-0.6115,-1.0,-1.0,-0.33333333333333337
p03,-0.187,-0.19999999999999996,-0.18518518518518523,-0.06666666666666676
p04,-0.162,0.0,0.33333333333333326,0.33333333333333326
p05,0.275,-0.8,-0.33333333333333337,-0.06666666666666665
p06,-0.06000000000000001,0.0,-0.5555555555555556,-0.20000000000000007
p07,-0.031000000000000028,-0.6,-0.5555555555555556,0.19999999999999996
p08,0.10000000000000002,-0.19999999999999996,0.03703703703703698,-0.33333333333333337
p09,0.09,0.3999999999999999,0.5555555555555556,0.19999999999999973
p10,-0.15,0.6000000000000001,0.18518518518518512,0.19999999999999973
p11,-0.27999999999999997,0.0,-0.18518518518518523,0.06666666666666687
p12,-0.1125,-0.19999999999999996,0.03703703703703698,-0.4666666666666667
